Question,Delimiters,Answer
The mean of,"['in', 'at']",The mean is <>
The average of,"['in', 'at']",The average is <>
What is mean of,"['in', 'at']",The mean is <>
What is average of,"['in', 'at']",The average is <>
What is mean,"['in', 'at']",The mean is <>
What is average,"['in', 'at']",The average is <>
What mean,"['in', 'was in', 'is in', 'there is in', 'at', 'was at', 'is at', 'there is at']",The mean is <>
What average,"['in', 'was in', 'is in', 'there is in', 'at', 'was at', 'is at', 'there is at']",The average is <>
Mean of,"['in', 'at']",The mean is <>
Average of,"['in', 'at']",The mean is <>
Mean,"['in', 'at']",The mean is <>
Average"['in', 'at']",The average is <>
Mean of,"['']",The mean is <>
Average,"['']",The average is <>